ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
255,Так,10,2026-08-09 21:22:13,2026-08-09 21:38:31,Так,Так,Так,Жіноча,33,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,"Вийшла з власної ініціативи, готова була стояти наодинці",Ні,Ні,Ні,Ні,Просто виходила щодня допоки були сили,"1. Повернення Федорова на посаду МО, страх що реформи які вже встигла зробити команда і план перемоги буде відкинуто чи уповільнено
2. Відставка Сирського через саботування реформ, старе управління, безчинства в скелі
3. Обурення відсутності пояснень відставки уряду, висування нових кандидатів без пояснень і плану, навіть якщо це достойні
4. Злість через ігнорування, тиск на військових та мітингувальників
5. Відчуття обєднаності і важливості моєї громадянської позиції
6. Повне нерозуміння що тепер коїться, чому президент і влада мовчить і творить таку авторитарну фігню",Так,Скоріше так,Точно ні,Важко відповісти,2,7 - Повністю довіряю,4,7 - Повністю довіряю,2,5,"Федоров, драпатий, Білецький, броуді",5,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
256,Ні,5,2026-08-09 21:30:29,2026-08-09 21:33:16,Так,Так,Так,Жіноча,23,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Зміна ефективного міністра оборони,Ні,Так,Ні,Ні,,,,,,,,,,,,,,,,,
257,Так,10,2026-08-09 21:30:39,2026-08-09 21:36:26,Так,Так,Так,Жіноча,22,Одеська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Одеса,Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Перешкоджання корупційним схемам в Уряді, надання ефективним міністрам змоги працювати і втілювати в реальність проєкти, які наближають Україну до перемоги",Так,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,"Не знаю, хто це",Важко сказати,"Федоров, Драпатий, Буданов, Залужний",3,"Наскільки погоджуюсь, настільки і не погоджуюсь",10 - Цілком прийнятно,Так
258,Так,10,2026-08-09 21:31:37,2026-08-09 21:41:48,Так,Так,Так,Жіноча,34,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Обурення необґрунтованих політичних рішень: 
1. Відставка уряду, без зворотнього звʼязку перед суспільством,від облич які прийняли і узгодили це рішення 
2. Необґрунтовані призначення в подальшому 
3. Підозра про корупційні схеми, які призвели до відставки уряду
4. Обурення щодо дій Сирського",Так,Безумовно так,Скоріше ні,Скоріше так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,6,3,4,"Федоров, Залужний, Дропатий",Важко сказати,Зовсім не погоджуюсь,1,Так
259,Так,10,2026-08-09 21:33:02,2026-08-09 22:02:29,Так,Так,Так,Чоловіча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Так,Так,Ні,Ні,Ні,Ні,,Так,Ні,Ні,Ні,Кожен день в один і той самий час. Запам'ятав раз і ходжу,"Пояснення змін в уряді, а особливо останні перестановки із спробую пристроїти людей, яких через цей ""двіж"" зняди з посад
Повернення Федорова як крок після прийняття, що адекватних причин звільнення немає
Відкат деяких кадрових рішень: Клименка, Вигівського (хоча із корупційними скандалами можливо краще звільнення), Умєрова (в принципі прибрати з уряду), Хмару
Обґрунтування кадрової політики і проговорення це з народом (в обличчі журналістів - і опозиційних також) у майбутньому",Так,Безумовно так,Важко відповісти,Важко відповісти,3,5,3,6,5,6,"Не впевнений, що довіряю хоча б якимось. Ставлюсь із пересторогою до будь-якого політика",4,Зовсім не погоджуюсь,2,Ні
260,Так,10,2026-08-09 21:35:29,2026-08-09 21:42:06,Так,Так,Так,Жіноча,43,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,"Я вважаю що звільнення Федорова є величезною помилкою, і хочу щоб президент надав пояснення",Так,Безумовно так,Точно ні,Скоріше ні,Важко сказати,7 - Повністю довіряю,2,7 - Повністю довіряю,Важко сказати,6,"В. Чалий, Стерненко, Федоров, Притула",6,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
261,Так,10,2026-08-09 21:36:09,2026-08-09 21:39:15,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"У мене є чітка політична позиція. Також я розумію, що протести зараз не за одну людина, а за цілу систему та адекватну комунікацію з громадянами.",Так,Безумовно так,Скоріше ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,6,Важко сказати,1 - Зовсім не довіряю,Нікому,5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
262,Ні,5,2026-08-09 21:44:46,2026-08-09 21:57:47,Так,Так,Так,Жіноча,29,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Заклик небайдужих незнайомих людей у соц мережах,Ні,Так,Ні,Ні,,"Відстояти призначення дійсно ефективного міністра, який вірю, що працює на благо країни, відкрито бореться з корупцією та звітує про пророблену роботу, невдачі, та план подальших дій, та дійсно може принести позитивні зміни в МО та повпливати на покращення позиції української армії в цій війні.",Так,Безумовно так,Важко відповісти,Скоріше так,3,6,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,2,"М. Федоров, Д. Кулеба, К. Буданов",Важко сказати,Зовсім не погоджуюсь,2,Ні
263,Так,10,2026-08-09 21:50:06,2026-08-09 21:54:35,Так,Так,Так,Жіноча,25,Дніпропетровська,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Дніпро,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"повернення Федорова на посаду МОУ. прозора комунікація від влади (в першу чергу, президента) стосовно сумнівних кадрових рішень. відставка та притягнення до відповідальності Сирського.",Так,Безумовно так,Скоріше ні,Скоріше так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,6,3,Важко сказати,"наразі, Федорову, Драпатому та Інні Совсун.",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
264,Так,10,2026-08-09 21:58:48,2026-08-09 22:05:46,Так,Так,Так,Жіноча,33,Перебуваю за кордоном,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Київ, Львів",Так,Ні,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,заявити свою громадянську позицію,Так,Безумовно так,Точно ні,Важко відповісти,3,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,6,"Михайлу Федорову, Валерію Залужному, Петру Порошенку",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
265,Так,10,2026-08-09 22:01:16,2026-08-09 22:09:26,Так,Так,Так,Жіноча,31,Київська,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Ні,"Ветеранка, на даний момент діючий ФОП",Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Відстояти своє право впливати на процеси, що відбуваються в державі. А саме - повернути на посаду міністра оборони Федорова, звільнення Сирського, якого глибше, то проти корупції, за нові підходи у вагоні війни з Росією, модернізацію війська, збереження життів та чіткий план перемоги.",Так,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,3,"Федоров, Залужний, Буданов, Свириденко",3,Не погоджуюсь,10 - Цілком прийнятно,Так
266,Так,10,2026-08-09 22:02:34,2026-08-09 22:32:16,Так,Так,Так,Жіноча,35,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,Франка на 19:00-20:00 годин кожен день. Тут анонси і організатори не потрібні.,"Міністр оборони, який довів свою ефективність, знятий нормальних без пояснень. Знятий за боротьбу з корупцією в МО? Ігнорування народу. Корупція. Президент зняв Федорова, бо він заважав красти гроші наближеним до президента людям?
Президент приймає рішення вигідні для його оточення, а не країни. Корупція головна причина чому ми можемо програти. Президент обіцяв боротись з корупцією, а виглядає так що він її очолює: після минулорічних НАБУ і САП, плюс звільнення Федорова - це все веде до думок про корупцію президента. Канікули в ВР коли в країні така криза не можуть бути. Повернення Федорова - це крок до прозорості і ефективності закупівлі зброї, довіра партнерів. Тут багато, що можна ще писати… Ще про Вероніку Фен-шуй згадалось - ну це ж повний треш… Там точно влада при розумі?
Мета: позбутися корупції, технологічне випередження росії, ефективна закупівля зброї і її розподіл - а Федоров це людина, яка може це забезпечити. Корупція вбиває. Змінемось або загинемо.",Так,Безумовно так,Скоріше ні,Скоріше так,2,6,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,Важко сказати,Нікому,7,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
